"","x"
"1",47005.9272324627
"2",47005.9272324627
"3",51050.4427362086
"4",44192.7805633908
"5",52947.5497674294
"6",40175.4070537595
"7",47211.3299010199
"8",61903.1378099722
"9",44687.2380367586
"10",51206.8161290538
"11",49033.9022028338
"12",48451.2717488948
"13",50325.8388061679
"14",56763.2182737852
"15",57120.9732604761
"16",56968.103981001
"17",57411.6798966779
"18",63296.7760720093
"19",63007.7486880547
"20",63582.035599717
"21",63291.7056562933
"22",41347.2313684621
"23",61424.3326402421
"24",70838.3408240238
"25",70838.3408240238
"26",47437.5767660143
"27",38200.9000942827
"28",48867.3842051586
"29",62049.2455550314
"30",62708.5577372951
"31",67274.4087342263
"32",60572.8134257919
"33",60006.0746545728
"34",45442.3718173859
"35",60667.6249980972
"36",42600.7424604393
"37",49428.6136671295
"38",63520.5798530542
"39",58982.0928769931
"40",45452.2971251867
"41",59333.9677503864
"42",46784.1483066994
"43",52465.6131390987
"44",54945.3300760139
"45",58476.2830757966
"46",51894.1945221655
"47",62657.2672863079
"48",65223.8726478457
"49",68792.1861262846
"50",44985.6545593495
"51",69929.1699954327
"52",45294.4863486167
"53",51386.6472453094
"54",56790.2915397339
"55",59075.8230351758
"56",59075.8230351758
"57",46108.7972654672
"58",48272.7352356574
"59",46379.0955945627
"60",50619.9892584523
"61",50920.4235727228
"62",50920.4235727228
"63",50319.7918675341
"64",56706.4604979518
"65",22704.3014594516
"66",67690.858028065
"67",36547.3466955323
"68",36547.3466955323
"69",36022.6542791728
"70",36022.6542791728
"71",37038.8963522971
"72",19081.2331093971
"73",19081.2331093971
"74",28403.5281265137
"75",28983.3557632702
"76",28789.0602073921
"77",22470.2401341865
"78",45792.4043411104
"79",45792.4043411104
"80",56405.1218655602
"81",50329.0065402142
"82",67518.2646134162
"83",75118.2665891135
"84",73906.5683030282
"85",49682.6825956478
"86",23839.4438895935
"87",24174.6657381576
"88",24174.6657381576
"89",24764.8558497302
"90",25663.7776296156
"91",27170.0703620734
"92",29005.2831144771
"93",24474.5859185001
"94",32293.7322003822
"95",9569.01463151245
"96",9569.01463151245
"97",21821.3987704947
"98",48407.9492128061
"99",27041.4922681159
"100",28468.2873030295
"101",34426.3339445642
"102",47032.8319365385
"103",47909.4542241454
"104",75699.845811547
"105",75329.1070726468
"106",80219.0065115877
"107",84829.78712054
"108",88546.9150106068
"109",36139.5781125824
"110",44764.4842395966
"111",35123.4493818356
"112",77008.995071436
"113",74639.3926496306
"114",75546.8792195147
"115",76560.8421783605
"116",85894.7501886802
"117",97349.419704744
"118",97349.419704744
"119",97349.419704744
"120",100179.419840615
"121",33817.3752820671
"122",40096.0983031394
"123",74320.9663875428
"124",74320.9663875428
"125",74320.9663875428
"126",74320.9663875428
"127",67576.1764362427
"128",71156.5700051034
"129",29218.1417961518
"130",39578.8825966605
"131",54776.9132783869
"132",39181.6940299504
"133",39181.6940299504
"134",39919.7864264034
"135",52042.4309093622
"136",43098.5495018825
"137",55356.5766678564
"138",55356.5766678564
"139",55356.5766678564
"140",59762.5003841793
"141",37485.0785308405
"142",38666.3897908384
"143",33934.2600732155
"144",33934.2600732155
"145",44624.9752943645
"146",44417.7339123059
"147",43404.7733646807
"148",43404.7733646807
"149",43404.7733646807
"150",44809.9729732368
"151",43404.7733646807
"152",43404.7733646807
"153",32356.5280963445
"154",54663.2019568985
"155",67906.4917925456
"156",68225.1472813524
"157",67158.7674311715
"158",37323.4512758107
"159",38858.8020695264
"160",38858.8020695264
"161",39224.4647193006
"162",40823.6476721747
"163",35963.2710667974
"164",35963.2710667974
"165",59262.4305296085
"166",60592.6884430863
"167",64194.117803874
"168",64565.0169000492
"169",29849.6494562966
"170",42250.4400672066
"171",42630.491978393
"172",38690.1077790332
"173",35599.4466409154
"174",40895.2682934209
"175",48709.7925711756
"176",49731.6513869889
"177",42010.8538371742
"178",46609.3545527354
"179",42982.3467329785
"180",48633.3440766946
"181",48174.5933136193
"182",48174.5933136193
"183",50149.9591952809
"184",57627.6438733578
"185",59433.9815542947
"186",59433.9815542947
"187",34138.6256130843
"188",35184.4320880591
"189",35184.4320880591
"190",36332.2343447978
"191",37202.3069400706
"192",36235.1043332268
"193",47636.6875402251
"194",27065.8478349072
"195",34636.338419327
"196",50598.1254139463
"197",55458.9295609829
"198",45820.6245248527
"199",45820.6245248527
"200",72965.4637219242
"201",53894.719756181
"202",53805.053503728
"203",64615.0959722881
"204",73625.0337482064
"205",30311.7046037263
"206",43467.7793506617
"207",40109.9048211418
"208",74051.7643359462
"209",57036.327717145
"210",58953.6936140752
"211",57783.6606279624
"212",52621.2525807177
"213",40325.6108145583
"214",74950.1049463237
"215",83368.6805313328
"216",54558.8314161571
"217",59450.3645231014
"218",38543.7903398926
"219",38085.1153534935
"220",38085.1153534935
"221",38543.7903398926
"222",50586.3527753551
"223",55293.5787205171
"224",32406.2778807696
"225",34052.4256711317
"226",47458.5727704367
"227",14467.9470494674
"228",33138.2805300253
"229",40480.1978491946
"230",31113.3784480563
"231",32105.6461337786
"232",33653.3599266911
"233",34004.9804160522
"234",27072.6114248865
"235",30118.6131249172
"236",30796.885339307
"237",23081.7548796948
"238",39754.2195917501
"239",40325.4569848544
"240",49775.1617008746
"241",46218.4195827439
"242",49593.8278248435
"243",49085.6486729073
"244",36763.9430268672
"245",26526.7841694958
"246",27918.1134003123
"247",29949.0785737279
"248",32693.2270030858
"249",35425.0989416341
"250",57219.1121188626
"251",70457.4031519587
"252",28181.1463031957
"253",27746.1167765065
"254",27544.4811210519
"255",35030.2524660323
"256",32583.5687926846
"257",34793.7612280135
"258",39907.2632048566
"259",53369.7441384038
"260",51051.1243377038
"261",86236.1137735317
"262",85556.9408783584
"263",85556.9408783584
"264",85556.9408783584
"265",41500.8663375289
"266",25736.6201703544
"267",13921.3470954999
"268",13921.3470954999
"269",44711.7069322563
"270",36280.6092210514
"271",50858.0602650732
"272",53091.2504079245
"273",62575.3375504933
"274",50381.1107594222
"275",32022.655433395
"276",32022.655433395
"277",41705.1562265331
"278",41705.1562265331
"279",43542.2116692601
"280",45009.9434555476
"281",196785.746439852
"282",196785.746439852
"283",26385.493480708
"284",43708.2957704667
"285",43984.9874597341
"286",43740.9044089301
"287",41969.9677154096
"288",13319.666144821
"289",119618.222457915
"290",92537.9639099151
"291",30918.0106491203
"292",30918.0106491203
"293",87519.3184285133
"294",28978.2150523711
"295",32527.1560208001
"296",31961.63527719
"297",177670.258566485
"298",64888.1008785381
"299",107188.786242318
"300",107188.786242318
"301",106643.18325994
"302",18118.3210302855
"303",18118.3210302855
"304",69285.3953757706
"305",78854.5351905895
"306",160293.258857685
"307",12210.102000247
"308",147357.745655702
"309",143495.603649553
"310",146900.044860261
"311",73160.1442730613
"312",78550.4065293527
"313",33475.1003077819
"314",83913.8028901709
"315",83913.8028901709
"316",83913.8028901709
"317",49114.961560185
"318",11424.902502956
"319",12602.1742984145
"320",12602.1742984145
"321",115778.959791622
"322",103192.906319821
"323",103192.906319821
"324",70394.3367767248
"325",70394.3367767248
"326",75041.7957692898
"327",75041.7957692898
"328",72543.4018271259
"329",112623.363721207
"330",178956.703835419
"331",184162.057431969
"332",74637.4707692366
"333",75161.9070229767
"334",150473.77191778
"335",122001.213470032
"336",122001.213470032
"337",122001.213470032
"338",116029.210366381
"339",137101.775130328
"340",143752.834609852
"341",179371.219881547
"342",179371.219881547
"343",182990.305255496
"344",182990.305255496
"345",182990.305255496
"346",219412.316411392
"347",219412.316411392
"348",246570.061871714
"349",246570.061871714
"350",369836.052978606
"351",51952.8735127797
"352",52303.4004262309
"353",125715.950643551
"354",125698.327744084
"355",34547.9592114616
"356",39022.3143240681
"357",39022.3143240681
"358",40066.092220308
"359",44180.6021865002
"360",43552.6772491999
"361",45568.2671722788
"362",47599.3588076921
"363",160329.79836953
"364",33117.8396137861
"365",33311.2200954708
"366",44469.0191597665
"367",36974.805218961
"368",45081.1261219567
"369",21067.1870413712
"370",40669.3780124158
"371",41879.5272113489
"372",39890.4068361707
"373",41759.5615596011
"374",41495.6027560743
"375",50132.5054774598
"376",45506.5561927239
"377",39178.7048179597
"378",34308.8993945527
"379",29941.1680368595
"380",41754.4244478508
"381",32806.3827734538
"382",34126.0283283975
"383",165590.466398507
"384",32573.0674351986
"385",34777.8043863188
"386",41833.3427761012
"387",38150.6216994139
"388",41571.4944959445
"389",41250.0281412456
"390",41250.0281412456
"391",41250.0281412456
"392",49007.3951045316
"393",50771.9935744041
"394",50771.9935744041
"395",26324.2671513093
"396",31540.655105326
"397",31611.9337319122
"398",55881.853800401
"399",40481.9737146976
"400",49766.380656254
"401",33001.9729229853
"402",41096.5379059687
"403",31545.4681945577
"404",41547.872392572
"405",26639.0147766852
"406",26639.0147766852
"407",26639.0147766852
"408",34746.5091118182
"409",34727.3281698722
"410",35193.4258404539
"411",118812.939151673
"412",118812.939151673
"413",118812.939151673
"414",111533.665449428
"415",22920.9004938242
"416",27937.9825589751
"417",41491.8830334891
"418",32357.206970442
"419",114706.30509398
"420",37769.4231245149
"421",45388.0594226715
"422",60334.4183283361
"423",31177.1198281004
"424",42728.7884161482
"425",53020.1098562724
"426",33035.0047603593
"427",40988.1564502666
"428",51025.1812159422
"429",147950.571710284
"430",163904.319104333
"431",81813.7454912693
"432",37467.8159540715
"433",30228.7093886964
"434",32765.4854076646
"435",19035.2857898396
"436",29653.8165174608
"437",26439.5237190409
"438",25325.6767382833
"439",35333.359220364
"440",29081.3691313521
"441",29349.0074676433
"442",44268.580995508
"443",53404.7730085866
"444",37020.6741454158
"445",37020.6741454158
"446",112700.077727144
"447",36888.338460757
"448",76617.8143704566
"449",26434.128324955
"450",16545.8098641371
"451",79690.742128044
"452",81560.9500506292
"453",33177.0802633822
"454",45025.7855040225
"455",45025.7855040225
"456",81939.5382274083
"457",55030.2311219123
"458",56901.8068573668
"459",57483.1209753543
"460",57483.1209753543
"461",57483.1209753543
"462",89427.2943960242
"463",61671.3863519314
"464",118113.285600217
"465",39201.5407061834
"466",39201.5407061834
"467",72047.7478623548
"468",16013.9619074894
"469",42335.3827337074
"470",40587.3135677531
"471",51167.0313726253
"472",64939.6691610257
"473",80755.3164371351
"474",101159.536287405
"475",102873.855416166
"476",164086.679498317
"477",164086.679498317
"478",11311.835122984
"479",11311.835122984
"480",11311.835122984
"481",11311.835122984
"482",11311.835122984
"483",11311.835122984
"484",34056.1929706667
"485",89219.7824543612
"486",89219.7824543612
"487",127653.925056169
"488",80913.8902799324
"489",42845.2863297321
"490",41074.2433019724
"491",117634.854515157
"492",37287.0915037558
"493",22070.8121883513
"494",20993.5210301413
"495",20864.0856272886
"496",19913.073900141
"497",19913.073900141
"498",19913.073900141
"499",37528.8603123796
"500",84459.9120864529
"501",83381.5615905837
"502",41411.4366935518
"503",45239.6172539635
